,Code,Name,Latitude,Longitude,Acres,att_2011,att_2012,att_2013,att_2014,att_2015,att_2016,att_2017,att_2018,att_2019,att_2020,att_Average
87,CONG,Congaree National Park,33.783333,-80.783333,26407.99796,120166,109685,120340,120122,87513,143843,159595,145929,159445,119306,128594
88,COGA,Constitution Gardens,38.890833,-77.044444,42.69566183,0,0,0,0,0,0,0,0,0,0,0
89,CORO,Coronado National Memorial,31.3458659,-110.253776,4811.388264,153042,97579,92936,118838,132584,136075,131614,103218,130328,156199,125241
90,COWP,Cowpens National Battlefield,35.073993,-81.8740202,846.2442239,223923,231973,216239,200836,206740,213299,212692,189410,223413,226903,214543
91,CRLA,Crater Lake National Park,42.962058,-122.148106,182551.77800000002,423551,447251,523027,535508,614712,756344,711749,720659,704512,670500,610781
92,CRMO,Craters of the Moon National Monument,43.41665,-113.5166497,53389.23842,198545,197529,200525,214993,246826,255436,285227,263506,272224,250872,238568
93,CRMP,Craters of the Moon National Preserve,43.46167,-113.56271,698956.1059,0,0,0,0,0,0,0,0,0,0,0
94,CUGA,Cumberland Gap National Historical Park,36.602419,-83.692026,24332.162780000002,828947,853998,768363,879934,840601,820387,737547,684191,704598,735447,785401
95,CUIS,Cumberland Island National Seashore,30.7206567,-81.5502296,38363.56208,74279,61493,51435,61401,59859,61896,51937,55650,53904,37295,56915
96,CURE,Curecanti National Recreation Area,38.4657461,-107.16668,41363.13032,924468,862612,814163,931367,944742,982498,1041446,931512,836034,921584,919043
97,CUVA,Cuyahoga Valley National Park,41.2824455,-81.5706109,32720.53108,2161185,2299722,2103010,2189849,2284612,2423390,2226879,2096053,2237997,2755628,2277833
98,DAAV,Dayton Aviation Heritage National Historical Park,39.794722,-84.088889,113.65335459999999,68048,65999,59274,57565,73588,95334,99700,93541,94709,39851,74761
99,DESO,De Soto National Memorial,27.371266,-82.580364,30.32626157,355653,432981,279924,342039,293647,232463,233354,210993,187880,196114,276505
100,DEVA,Death Valley National Park,36.5053891,-117.0794082,3434914.7610000004,946867,984568,951972,1101312,1154843,1296283,1294827,1678660,1740945,820023,1197030
101,DEWA,Delaware Water Gap National Recreation Area,41.121115,-74.898707,68950.15306,4986700,4970802,4843350,4041672,3735134,3677744,3400944,3261921,3374865,4068529,4036166
102,DENA,Denali National Park,63.7296854,-148.766697,6026738.312999999,406582,388433,530922,531315,560757,587412,642809,594660,601152,54850,489889
103,DEPO,Devils Postpile National Monument,37.6146273,-119.0852642,799.4358281000001,97207,87845,91794,114414,140313,135404,109571,139724,147864,108590,117273
104,DETO,Devils Tower National Monument,44.588333,-104.698333,1350.072694,395203,416994,417326,440875,478833,496210,499031,468216,450785,423997,448747
105,DINO,Dinosaur National Monument,40.5191016,-108.9264524,211361.8997,213559,302858,274361,250625,291799,304312,315859,304468,298965,264145,282095
106,DRTO,Dry Tortugas National Park,24.56,-81.81,65578.13088,75171,60550,58401,64865,70862,73661,54281,56810,79200,48543,64234
107,DDEM,Dwight D. Eisenhower Memorial,38.887182,-77.018771,3.3422073269999997,0,0,0,0,0,0,0,0,0,187328,187328
108,EBLA,Ebey's Landing National Historical Reserve,48.218333,-122.683611,18044.58572,0,0,0,0,0,0,0,0,0,0,0
109,EDAL,Edgar Allan Poe National Historic Site,39.9480134,-75.1461357,0.522457474,14711,19104,5884,13701,13862,14827,14878,16314,15527,2418,13123
110,EFMO,Effigy Mounds National Monument,43.139283,-91.245468,2497.364355,82581,78540,71074,77812,81901,77195,67006,55576,65581,18225,67549
111,EISE,Eisenhower National Historic Site,39.8122032,-77.2215251,693.0609099,58022,53286,59179,58240,54377,55550,50597,42036,47277,7926,48649
112,ELMA,El Malpais National Monument,35.1610428,-107.8410667,113577.677,105356,114678,137904,164063,174433,157440,161526,154368,158924,139336,146803
